ENDTIME_us,TASK,PID,TYPE,BYTES,OFFSET_b,LATENCY_us,FILE
197926773318,b'FwgThread read ',2790468,R,65536,24903680,24497,b'vdb_f1769.file'
197926774147,b'FwgThread read ',2790468,R,65536,41680896,21507,b'vdb_f4989.file'
197926774208,b'FwgThread read ',2790468,R,65536,12320768,21774,b'vdb_f0568.file'
197926775036,b'FwgThread read ',2790468,R,65536,1835008,25490,b'vdb_f0314.file'
197926821284,b'FwgThread read ',2790468,R,65536,33292288,22334,b'vdb_f0568.file'
197926821456,b'FwgThread read ',2790468,R,65536,20709376,29884,b'vdb_f0314.file'
197926823211,b'FwgThread read ',2790468,R,65536,786432,21198,b'vdb_f7913.file'
197926826516,b'FwgThread read ',2790468,R,65536,45875200,32085,b'vdb_f1769.file'
197926879773,b'FwgThread read ',2790468,R,65536,0,42120,b'vdb_f5531.file'
197926879771,b'FwgThread read ',2790468,R,65536,12320768,37053,b'vdb_f7913.file'
197926880728,b'FwgThread read ',2790468,R,65536,41680896,29841,b'vdb_f0314.file'
197926881389,b'FwgThread read ',2790468,R,65536,50069504,42464,b'vdb_f0568.file'
197926977865,b'FwgThread read ',2790468,R,65536,45875200,20306,b'vdb_f5531.file'
197926978482,b'FwgThread read ',2790468,R,65536,37486592,20878,b'vdb_f0657.file'
197926982141,b'FwgThread read ',2790468,R,65536,29097984,21087,b'vdb_f6645.file'
197927188765,b'FwgThread read ',2790468,R,65536,52166656,26911,b'vdb_f2386.file'
197927188757,b'FwgThread read ',2790468,R,65536,0,35445,b'vdb_f6551.file'
197927188763,b'FwgThread read ',2790468,R,65536,16515072,26864,b'vdb_f7120.file'
197927234772,b'FwgThread read ',2790468,R,65536,1835008,34948,b'vdb_f4103.file'
197927235456,b'FwgThread read ',2790468,R,65536,10223616,25400,b'vdb_f6551.file'
197927236933,b'FwgThread read ',2790468,R,65536,262144,31396,b'vdb_f3196.file'
197927473778,b'FwgThread read ',2790468,R,65536,8126464,21227,b'vdb_f6919.file'
197927791876,b'FwgThread read ',2790468,R,65536,786432,41406,b'vdb_f7068.file'
197927793641,b'FwgThread read ',2790468,R,65536,20709376,42424,b'vdb_f0086.file'
197927796550,b'FwgThread read ',2790468,R,65536,54263808,51031,b'vdb_f4695.file'
197927798215,b'FwgThread read ',2790468,R,65536,54263808,48260,b'vdb_f7508.file'
197927820434,b'FwgThread read ',2790468,R,65536,29097984,20821,b'vdb_f0086.file'
197928156962,b'FwgThread read ',2790468,R,65536,8126464,26193,b'vdb_f2281.file'
197928157635,b'FwgThread read ',2790468,R,65536,54263808,21517,b'vdb_f6669.file'
197928158583,b'FwgThread read ',2790468,R,65536,45875200,24232,b'vdb_f8791.file'
197929007520,b'FwgThread read ',2790468,R,65536,3932160,29064,b'vdb_f2372.file'
197929007523,b'FwgThread read ',2790468,R,65536,8126464,31832,b'vdb_f1250.file'
197931319977,b'FwgThread read ',2790468,R,65536,262144,54938,b'vdb_f4462.file'
197931348681,b'FwgThread read ',2790468,R,65536,0,80918,b'vdb_f3063.file'
197931348700,b'FwgThread read ',2790468,R,65536,24903680,77750,b'vdb_f7157.file'
197931349758,b'FwgThread read ',2790468,R,65536,37486592,78612,b'vdb_f8430.file'
197931395822,b'FwgThread read ',2790468,R,65536,43778048,23794,b'vdb_f7157.file'
197931398960,b'FwgThread read ',2790468,R,65536,37486592,23514,b'vdb_f4462.file'
197931399180,b'FwgThread read ',2790468,R,65536,3932160,30249,b'vdb_f3063.file'
197931480511,b'FwgThread read ',2790468,R,65536,50069504,26940,b'vdb_f3063.file'
197931630553,b'FwgThread read ',2790468,R,65536,262144,24863,b'vdb_f5996.file'
197931632573,b'FwgThread read ',2790468,R,65536,262144,23068,b'vdb_f7309.file'
